ABW;0
AFG;0
AGO;0
ALB;0
AND;0
ARE;0
ARG;0
ARM;0
ASM;0
ATG;0
AUS;3
AUT;16
AZE;0
BDI;0
BEL;0
BEN;0
BFA;0
BGD;0
BGR;0
BHR;0
BHS;0
BIH;0
BLR;3
BLZ;0
BMU;0
BOL;0
BRA;0
BRB;0
BRN;0
BTN;0
BWA;0
CAF;0
CAN;26
CHE;11
CHI;0
CHL;0
CHN;11
CIV;0
CMR;0
 République démocratique du;0
 République du;0
COL;0
COM;0
CPV;0
CRI;0
CSS;0
CUB;0
CUW;0
CYM;0
CYP;0
CZE;6
DEU;30
DJI;0
DMA;0
DNK;0
DOM;0
DZA;0
ECU;0
 République arabe d’;0
ERI;0
ESP;0
EST;1
ETH;0
FIN;5
FJI;0
FRA;11
FRO;0
 États fédérés de;0
GAB;0
GBR;1
GEO;0
GHA;0
GIB;0
GIN;0
GMB;0
GNB;0
GNQ;0
GRC;0
GRD;0
GRL;0
GTM;0
GUM;0
GUY;0
 RAS de Hong Kong;0
HND;0
HPC;0
HRV;3
HTI;0
HUN;0
IDN;0
IMN;0
IND;0
IRL;0
 République islamique d’;0
IRQ;0
ISL;0
ISR;0
ITA;5
JAM;0
JOR;0
JPN;5
KAZ;1
KEN;0
KGZ;0
KHM;0
KIR;0
KNA;0
KOR;14
KWT;0
LAC;0
LBN;0
LBR;0
LBY;0
LCA;0
LCN;0
LIE;0
LKA;0
LSO;0
LTU;0
LUX;0
LVA;2
MAF;0
MAR;0
MCO;0
MDA;0
MDG;0
MDV;0
MEX;0
MHL;0
MKD;0
MLI;0
MLT;0
MMR;0
MNE;0
MNG;0
MNP;0
MOZ;0
MRT;0
MUS;0
MWI;0
MYS;0
NAM;0
NCL;0
NER;0
NGA;0
NIC;0
NLD;8
NOR;23
NPL;0
NRU;0
NZL;0
OMN;0
OSS;0
PAK;0
PAN;0
PER;0
PHL;0
PLW;0
PNG;0
POL;6
PRI;0
PRT;0
PRY;0
PSE;0
PYF;0
QAT;0
ROU;0
RUS;15
RWA;0
SAS;0
SAU;0
SDN;0
SEN;0
SGP;0
SLB;0
SLE;0
SLV;0
SMR;0
SOM;0
SRB;0
STP;0
SUR;0
SVK;3
SVN;3
SWE;11
SWZ;0
SXM;0
SYC;0
SYR;0
TCA;0
TCD;0
TGO;0
THA;0
TJK;0
TKM;0
TLA;0
TLS;0
TMN;0
TON;0
TSA;0
TSS;0
TTO;0
TUN;0
TUR;0
TUV;0
TZA;0
UGA;0
UKR;0
URY;0
USA;37
UZB;0
VCT;0
VEN;0
VGB;0
VIR;0
VNM;0
VUT;0
WSM;0
XKX;0
 Rép. du;0
ZAF;0
ZMB;0
ZWE;0
